Interpret;Titel
Tom Vek;Aroused (Van She Remix)
Jamie Woon;Shoulda (Adam Stacks Edit)
DNTEL;Still
Air France;It Feels Good To Be Around You
Teen Daze;Brooklyn Sunburn
Bear In Heaven;The Reflection Of You (CFCF Remix)
Onra;L.O.V.E
MC Fitti;30Grad
Van She;Idea Of Happiness
Van She;Idea Of Happiness (SebastiAn Remix)
Beat Connection;The Palace Garden, 4am
M83;Reunion (Dale Earnhardt Jr. Jr. Remix)
Coco Morier;Afterlife
Sleigh Bells;Demons (Diplo Remix)
Lemonade;Neptune (Sinjin Hawke Remix)
Diplo;Set It Off (Feat. Lazerdisk Party Sex)
Elliphant;TeKKno Scene feat. Adam Kanyama
Azealia Banks;212
Iggy Azalea;My World
Kreayshawn;Gucci Gucci
Dominique Young Unique;Show My Ass
Zebra Katz;Ima Read feat. Njena Reddd Foxxx
SBTRKT;Gamelena
Neneh Cherry + The Thing;Dream Baby Dream (Four Tet remix)
Supreme Cuts;Silkk
Totally Enormous Extict Dinosaurs;Stronge
Bullion;Get Familiar
Jai Paul;Jasmin
Oddisee;Paralyzed
Yeasayer;Henrietta
Total Warr;xxx HATE xxx
Beach House;Equal Mind
Sufjan Stevens;Futile Devices (Shigeto Remix)
The Big Pink;Hit The Ground (Superman) (remix by Forest Swords)
Perfume Genius;Rusty Chains
Rick Ross;Touch'N You (Feat. Usher)
Health;Tears
How To Dress Well;Ocean Floor For Everything
The Soft Moon And John Foxx;Evidence
Antony And The Johnsons;Rise
