Interpret;Titel
Flume feat. Jezzabell Doran;Sleepless
Debruit;Soles Sweat (Reso Rmx)
KRTS;Regret To Retreat
Cohoba & Inko;Eyes
Sarp Yilmaz;Alkemy
M.A.N.D.Y.;Twisted Sister
Fybe:One;Aeolian (Blacksmif Remix)
Stubborn Heart;Blow
Ogris Debris;The Next Life (The Reboot Joy Confession´s Blodge Remake)
Gil Scott Heron;My Cloud (Jamie XX Remix)
Micha Vanony;Le Sens Du Sens
Thavius Beck;Labward Bound
Thavius Beck;Atmos
Wiz Khalifa;Roll Up
Fulgeance;Whut It Iz (Instr.)
Loops Haunt;Mun Rhul
Ratking;Piece Of Shit
The Weeknd;House Of Balloons
Mario Basanov;Closer
Crosson & Merveille;No Hassle
Sarp Yilmaz;Blue
Dakota Suite;I See Your Tears
Dakota Suite;If You´ve Never Had To Run Away
Rebekka Karijord;Use My Body While It´s Still Young
Jozif feat. Little Bear;The 508
Don Nino;Beats (Turzi Remix)
Björk;Moon (The Slips Remix)
Snarky Puppy;Thing Of Gold
Nicolay;Shibuya Station
Nicolay;Crossing
Submotion Orchestra;Thousand Yard Stare
The United Jazz + Rock Ensemble;South Indian Line
Cottam;Relapse
Esbjörn Svensson Trio;Eighty-Eight Days In My Veins
