Interpret;Titel
RIN feat. Bilderbuch;Nimmerland
Kamaal Williams;High Roller
Ballistic Brothers;Blacker
India Jonan;Dnt Stp My Lv
Headie One feat. Skepta;Back To Basics (Floating Points Remix)
Joy Orbison feat. Mansur Brown;YI She´s Away
Prins Thomas;"Urmannen (12"" Version by Prins Thomas)"
Margaret Dygas;Zeitgeist
Stormzy feat. Aitch;Pop Boy
Stormzy;Lessons
Burna Boy;African Giant
Bullion;Heartbreak Road
Luis Ake;Rotmilan
Holy;The Ryder
Dinner;Turn Me On
Fever Ray;I´m Not Done Dancing (Still Not Done Dancing Mix)
Bambara;Serafina
All We Are & Alex Karpranos;Heart Attack
Kaytranada feat. Pharell Williams;Midsection
Caribou;Home
Rejoicer;Up In Flames
TOKiMONSTA;Love That Never
Com Truise;Persuasion System (Anastasia Krsitensen Remix)
Jo Goes Hunting;Kikako
Die Sterne feat. Kaiser Quartett;Der Palast Ist Leer
Melanie Velarde;Bez
DJ Python;q.e.p.d.
Talanzele;DJ Nigga Fox
Silvestre;Sueno
Jo Hopkins & Kelly Lee Owens;Luminous Space
Jaakko Eino Kalevi;Dissolution
Supermax;Lovemachine
Molly Burch;The Secret Of Christmas
Sandro Perri;Soft Landing
