Interpret;Titel
Liam Gallagher;Shockwave
Spooky Tooth;I'm The Walrus
Pixx;Bitch
Niv Ast & Eliezer;Martians In Pluto
Death Hawks;Synchronicity
Lust For Youth;Adrift
Dinner;Wake Up
Marvin & Guy;Hint Of '92
Drab Majesty;Ellipsis
Juan Wauters;Dos
Mega Bog;Diary Of A Rose
Robag Wruhme;AK -DO 5
Lizzo;Better In Colour
Jon Spencer Blues Explosion;Mars Arizona (DFA Remix)
Jack White;Croporation
The Raconteurs;Help Me Stranger
The Black Keys;Eagle Birds
T. Rex;Jeepster
Temples;Hot Motion
Dusky vs DJ Hell;Staunch
Matthew Jonson & Spaceandtime;Cabin Fever (Darko Esser Remix)
Anthony Naples;Lucy's
Wovoka Gentle;Peculiar Form Of Sleep (Tiresias Theban)
Transistorcake;Future Plan I
L'abuse;Ré-Union
Robag Wruhme;Komalh
Digga D;What's Love
Skepta feat. Nafe Smallz;Greaze Mode
Skepta feat. Key;Redrum
Natascha P.;Drei Meter Spannweite
Sampa The Great;Final Form
Perry Farrell;Pirate Punk Politician
Wovoka Gentle;Punxsutawney Phil
Caamp;No Sleep
