Interpret;Titel
Pariah;Chromosome
Visible Cloaks;Screen
House Of Blondes;Discovery #1
Scratcha DVA x Gage;PIFFD
Marlon Hoffstadt;Take A Moment
El_Txef_A;Blue Boat (Snad Remix)
Klein Zage;Absolutely
Sarah Louise;R Mountain
Cairo;Young Bull
Future;Jumpin On A Jet
Tommy Genesis;Daddy
Frank & Aakmael;Mercy Of Means
Lana Del Rey;Hope Is A Dangerous Thing For A Woman Like Me
Femmepop;Astra
Basic Rhythm;Too Nuff
Toro Y Moi;Freelance
Toro Y Moi;Who Am I
International Teachers Of Pop;Another Brick In The Wall
Sleaford Mods;Flipside
Stats;Lose It
Press Club;Headwreck
Mant;Higher Self
Paranoid London;300 Hangovers A Year
Angelo De Augustine;A Good Man´s Light
Steve Gunn;Luciano
Jonathan Jeremiah;The Stars Are Out
Tallies;Trouble
Sharon Van Etten;Comeback Kid
Toy;Sequence One
Juniore;Extralucide
Swervedriver;The Lonely Crowd Fades In The Air
Mio;Find It
Wargirl;Arbolita
Blood Red Shoes;Mexican Dress
The Blinders;Gotta Get Through
The Twilight Sad;VTr
Manana People;Matchstick Man
Le Villejuif Underground;Le Villejuif Underground
Glintshake;???-?? ????????
