Interpret;Titel
International Teachers Of Pop;The Ballad Of Remedy Nilsson
Sharda;Chin Up
The Shamen;Transcendental
LCD Soundsystem;Home (Electric Lady Sessions)
LCD Soundsystem;I Want Your Love (Electric Lady Sessions)
Heaven 17;(We Don´t Need That) Fascist Groove Thang (Rapino Eit)
Andersen;222
Methyl Ethel;Real Tight
Stats;Other People´s Lives
Friedberg;Boom
Die Goldenen Zitronen;Katakombe
Die Goldenen Zitronen;Nützliche Katastrophen
Can;Spoon
White Denim;NY Money
Fold;Astral Planes
Octo Octa;I Need You
Om Unit & Kid Drama;Untitled 3
Sonic;Serendipity
Mishlawi;Honor Roll
Lil Skies;Opps Want Me Dead
Wicca Phase Springs Eternal;Together
Wicca Phase Springs Eternal;Just One Thing
Wicca Phase Springs Eternal;Rest
Swans;Love Will Tear Us Apart
Rakim;Guess Who´s Back
Kool Savas;Essah Ist Zurück
Black Loops, Nikoss & Seven Davis Jr;Good Things
Deena Abdelwahed;Tawa (Clip Remix)
Sailor & I;Rainmaking
L´Eclair;Sisi La Fami
Cass McCombs;I Followed The River South To What
Daniel Carter, Tobias Wilner, Djibril Toure & Federico Ughi;Canal Street
Panda Bear;Home Free
Panda Bear;Dolphin
Hexvessel;Journey To Carnac
Hexvessel;Changeling
Eerie Wanda;Big Blue Bird
