Interpret;Titel
BFTT;Ofusc
Piezo;Tinned
Jacques Greene feat. Cadence Weapon ;Night Service                                          
Document One feat. Javeon                ;Crystal
Whitney;Valleys (My Love)                                   
Nérija;Last Straw                                                 
Sam Von Horn                                          ;Autonomic
Ivan Stereotekk                                      ;Type Of                                                    
Terror Danjah feat. Dok, MC Bratt & Criminal  ;This Year                                                   
Simplification;Hold On                                                    
Danny Wheeler                                        ;Transmission
Allah-Las                                                        ;In The Air                                                     
Clairo ;Bags
Tomemitsu;In Dreams (RSS Disco Mix)                    
YBN Cordae feat. Chance The Rapper     ;Bad Idea                                                        
YBN Cordae feat. Anderson .Paak             ;RNP 
C.O.W. feat. Jake Masca                           ;Der Mann, den ich nicht fassen kann
Teyana Taylor feat. Kanye West;Hurry
Michelle David & The Gospel Sessions;Shang Dang                                                  
Dircsen;No Sign Of Life                                             
Alexander Tucker                                    ;Energy Alphas                                         
Ride;Repetition
Swervedriver;The Lonely Crowd Fades In The Air      
 CSS                                                             ;Fuckoff Is Not The Only Thing You Have To Show 
Berries;Silent
Salami Rose Joe Louis                              ;Cumulous Potion (For The Clouds To Sing) 
GuiGuiSuiSui;A Thousand Years                                     
GuiGuiSuiSui;The Other Side                                           
Yu Su                                                              ;Watermelon Woman (Dub)                      
Lerosa;One Is Too Short                                        
Document One                                          ;Holy Moly                                                   
Concord Dawn                                             ;Surgeon Wobble                                        
Martyn;B. C. 2                                                           
CAAMP  ;Huckleberry Love                                       
CAAMP   ;Peach Fuzz                                                    
JETZT!                                                           ;Eins Und Eins Ist Unendlich Viel               
Leisure ;Feeling Free 
