Interpret;Titel
Space Dimension Controller;Vaults Of Arcadia
Rozi Plain;Old Money
Sam Prekop;C + F
Saweetie;Hot Boy
Gunna;Richard Millie Plain
Hamza;Paradise
Nocturnal Sunshine;U & ME
Huxley;Evolution
Shortee;Magic Spindle
Horixon;Every Turn (Joseph Ashworth Night Vision)
LL Cool J;Funkadelic Relic
L´Eclair;Castor MacDavid
Wicca Phase Springs Eternal;Rest
Ellen Bødtker & Jan Erik Vold;Hokusai The Old Master
The Flaming Lips;The Sparrow
The Flaming Lips;Giant Baby
Darjeeling;You´re Not A Loner
Parekh & Singh;Summer Skin
The Flaming Lips;How Can A Head
Bibio;Old Graffiti
Washed Out;Hard To Say Goodbye
Anderson .Paak feat. Lala Hathaway;Reachin´ 2 Much
Phenomenal Handclap Band;Jail (Waajeed´s Funkytown Remix)
Cassia;Movers & Shapers
Eddie Cochran;C´mon Everybody
Fontaines D.C.;Chequeless Reckless
Fontaines D.C.;Liberty Belle
Fontaines D.C.;Boys In The Better Land
Fontaines D.C.;Dublin City Sky
The Pogues;Dirty Old Town
Falty DL x Benny Ill;Ill Bent (Benny Ill Remix)
Etch & Nico Lindsay;Don´t Wanna Know
Nausika;Hidden Traits VIP
Zero T;Bermuda
Degs;Killer
Dua Lipa;Swan Song (Calibre Remix)
Darjeeling;Tangled Arms
