Interpret;Titel
DJ Raff;Mundo Paralello ( Kaleem Remix)
Gacha Bakradze;Elevate
Danny Goliger & TÂCHES;Jorge De La Delva
St. Vincent Vs Midland;Masseducation (Midland's Mass Seduction Remix)
Shed;Die Oder
Silvestre;Sueno
DJ Nigga Fox;Agua Morna
Kjetil Muleid Trio;What You Thought Was Home
Pinch & Trim;That Wasn´t It
Josh Rouse;Letters In The Mailbox
DJ Shadow;Rosie
Kid Acne feat. Spectacular Diagnostics;Council House Boys
Sofia Portanet;Wandering Rat
Jeffrey Lewis & The Voltage;Exactly What Nobody Wanted
Dumb;Club Nites
Frustration;Le Grand Soir
MNNQNS;Totally Wired
Gorillaz feat. Mark E. Smith;Glitter Freeze
Kele;Between Me And My Marker
Kele;Jungle Bunny
Banbarra;Shack Up (Danny Goliger Edit)
Lyzza & Joe Goddard;Neverland
La Roux;International Woman Of Leisure
Corridor;Grand Cheval
Low End Activist;Signal To Noise (Ratio)
DJ Shadow;Beauty, Power, Motion, Life, Work, Chaos, Law
Billy Cobham;Stratus
Vetiver;Wanted, Never Asked
Leif Vollebekk;I´m Not Your Lover
Dusty Springfield;Spooky
Suzan Köcher´s Suprafon;Píse? dn?
Suzan Köcher´s Suprafon;Texas Sun
Gospel Beach;Bad Habits
Kendra Amalie;Stay Low
Zepp Oberpilcher;Witches
FKA twigs;Daybed
Jack Penate;Murder
