Interpret;Titel
The United Jazz + Rock Ensemble;Hypnotic Pignose
White Denim;So Emotional
Louis Cole;F It Up
1991;Midnight
Josh Gregg;Deadline
Marlon Hoffstadt;Der Hoffmaster
Khidja;I Can Never Relax
The Pogues;Dirty Old Town
Fontaines D.C.;Big
Shacke One;LaLaLa
LL Cool J;Funkadelic Relic
Gary Gritness;Back With A Vengeance
Quintus Project;Night Flight (Psychemagik Remix)
Ghost Vision;Mirador
Ohtis;Pervert Blood
Ohtis;Runnin
Gram Parsons;Hearts On Fire
Francois And The Atlas Mountains;Les Plus Beaux
Rozi Plain;Symmetrical
Gosto feat. Benny Sings;The Other Way
Ezra Collective feat. Loyle Carner;What Am I To Do
Satin Jackets feat. David Harks;Shadow Of You
Billie Eilish;Xanny
Mental Overdrive;Mbire-Kalimba
DJ Linus;Oxygen
Synkro;Realize
HÆLOS;End Of World Party
Lenzman;My Heart
TMSV;Ego Death
Fracture;Percussion Sweet
Two Year Vacation;Better Off Alone
Kamala;Your Sugar
The Drums;Body Chemistry
