Interpret;Titel
Trust Image;Huarache
Trust Image;Sun
Special Request;Amnesia
Prayer;Running
Coma;Poor Knight
Tiefschwarz feat. Khan;Free Falling (Skream Rmx)
John Grant;Down Here
Baby Woodrose;I Feel High
Neon Indian;The Glitzy Hive
!!!;Ooo
Here We Go Magic;Tokyo London Us Korea
Gosto;My Bad (Rain City Riot Rmx)
My Baby;Mary Morgan
Albert;Back & Forth
Shrack;We Shrack Because You Don´t
Alif;Holako
Heathered Pearls;Perfume Catalogue (Lord RAJA´s remix)
Your Gay Thoughts;Claude Monet
KRTS feat. Mad Flows;Serve And Protect
Kelela;Rewind
Fat Freddy´s Drop;Fish In The Sea
Eji Oyewole;Gele Odun (Oil Boom)
Sir Douglas Quintett;Nuevo Laredo
Wanda;Andi Und Die Spanischen Frauen
Bloodsucking Zombies From Outer Space;Der Einarmige Henker
Kreiml & Samurai;Lächerlich
Finn;Lya
Nicole Jaey;New World
Sex Jams;Hell Money
Freiburg;Sommer, Roggen Und Er
Nightingales;But
Shopping;Take It Outside
Leyya;Superego
Ant Antic;Blood Sugar
