Interpret;Titel
Anile;To Live Without
Drew Lustman/The Crystal Cowboy;The Crystal Cowboy
Moon Doctor;Moon Bootz
Tsunga;Maris Piper
Waqas;Pardon My French
DJ Cam feat. Earl Davis;In The Air Tonight
Noah Kin;Still Noah
Dizz1 feat. Frank Nitt;Get `Em Up
Hot Chip;Need You Now (Four Tet Remix)
Doldrums;We Awake
Guillaume & The Coutu Dumonts;You Lost It
Lowly;Daydreamers
Pure Bathing Culture;Twins
Novella;Phrases
The Leisure Society;I´m A Setting Sun
The Migrant;Climbers
Luisa;Vision
Christian Löffler;York
Sekouia;Somewhere
Gosto;Sold
Aurora ;Running With The Wolves
Dralms;Pillars & Pyre
Lowly;Stones In The Water
Slug;Cockeyed Rabbit Wrapped In Plastic
Pool;Homebound
Satoshi Tomiie feat. John Schemersal;New Day
Damian Lazarus & The Ancient Moons;Vermillion
Kaaliyah;Rust & Bone
Toddla T Sound;Worst Enemy
Ida Kudo;Icy Icy
Werkha;Flinch Quiver
Ryley Walker ;All Kinds Of You
Travelling Tribes;Snowflakes
