Interpret;Titel
New Wave;Fort Romeau
Folle;Fort Romeau
Winter´s Song;Bob Moses
In A Cloud;Moon Duo
Last Dance;XXXY
The Boy Who Thought It Was A Good Idea To Cry;Johan Agebjörn
Outside Things;Charlie Cunningham
Tamara;Eskmo
Can We Still Be Friends;Tobias Jesso Jr
Ceremony;John T. Gast
Mirror Image;Nick Höppner
Supermassive;Laszlo
Sparking Up;Vandera
Think Of;Sunchase
Yoohoo (LTJ Bukem Rmx);Dusky
The Calm Before;Jonny Faith
The Sirens;My Kingdom
Listen To The Love;Sweatson Klank
Gaia;DarkO
Jasmine;Murlo feat. Gemma Dunleavy
Heat;Tokyo Hands
Glass Eye;Pearson Sound
Pusher;Mark Henning
The Wait;Tobias Jesso Jr
October;Jonas Alaska
Rock & Roll Is Cold;Matthew E. White
Husbands;Marker Starling
Climbers;The Migrant
OM (Siriusmo Rmx);Bilderbuch
Trimming;Calibre
Creeper;Tim Wright
Omen (Boo Williams´ Chicago Dub);Guilhem Monin
Pättäjä On Pettäjä;Pertti Kurikan Nimipäivät
World Of Dust;Helmholtz Resonators
Wooden Man;Helmholtz Resonators
