Interpret;Titel
Fort Romeau;Hidden Track
Fort Romeau;Cloche
Jose Padilla;Day One
Ruede Hagelstein feat. Pillow Talk;Already Undone
Tenors of Kalma;Blind
Electric Wire Hustle;Loveless
Lonelady;Hinterland
Garden City Movement;My Only Love
Django Django;Reflections
Say Lou Lou;Games For Girls
Lumeria;Legowelt
Echo Loss;Reso
Fat Gash;wAFF
Last Dance;XXXY
Newborn (Ada Remix);Aaron Ahrends
All Of Me Wants All Of You;Sufjan Stevens
How Far;Ego Ella May
Planet For Sale;Theesatisfaction
Backwards;My Panda Shall Fly
Lady Divine;Alela Diane Vs Jon Hopkins
Gillie Amma I Love You;Four Tet  Vs Jon Hopkins
Walk Alone;Laura Marling
Primrose Green;Ryley Walker
Sighs;The Feather
Let It Happen;Tame Impala
All U Writers;!!!
King Kunta;Kendrick Lamar
Re Run Home;Kamasi Washington
Stor Eiglass;Squarepusher
