Interpret;Titel
Marlon Williams ;When I Was A Young Girl 
Glenn Jones ;Close To The Ground 
Kevin Morby;Singing Saw
Sami Baha;Dough 
Case/Lang/Veirs;Atomic Number 
Blackie & The Oohoos ;Little Jewel
Mass Gothic;Pier Pressure 
Dinner! ;Wake Up
The Bollock Brothers ;Where´s My Girl 
The Liminanas ;Votre Cote Yeye M´Emmerde 
The Hanging Stars ;Running Waters Wide
Jerry Berkers;Es Wird Morgen Vorbei Sein 
Moderat ;Ghostmother 
DMX Krew;Hard Copy
Submerse;Too Late, They´re Already Here 
Okzharp & Samrai feat. Ruffest ;Woza Uzowa
Ogris Debris ;Ogris Debris 
Bibio;With The Thought Of Us 
Bullion;Speed
Leon Vynehall ;Kiburu´s 
Djebali;Ideal Juice
Nomine feat. Iustina & X=X;Peace Please
Prins Thomas;D (Hieroglyphics Remix)
Gold Panda ;Time Eater 
Designer + Four Tet;Mothers
Konono No 1 feat. Batida ;Nlele Kalusimbiko
Keeno;Nocturne (Frederic Robinson Remix) 
Bop feat. Synkro ;Blurred Memories (Etherwood Remix)
Roy Green & Protone & Monologue ;Driftin´ 
Polski Jazz Ensemble;Song For Ewa 
Woods;Politics Of Free
Jan St. Werner;The Somewhere That Is Moving 
