Interpret;Titel
Wanderlust ;AlunaGeorge 
Among The Living;Trim
September;The Smoke Clears
Cut;Dinky
Sheathe ;Asher Levitas
Off The Spectrum;Damu
True Hold ;Patten 
Rings Of Saturn;Nick Cave & The Bad Seeds
Gaia;Dark0
Underground Cinema;Om Unit feat. Krust 
Wood & Water;Need For Mirrors
Senseless Love;The Vanguard Project
River Phoenix;FaltyDL 
Lol Crème ;Legs Benedict
Valparaiso;Seahawks
Shadow Dancer ( Murray Lake Remix);Guillaume Teyss
We Can Talk;Satin Jackets
Dark Love;Sam Evian
UDDS;Clubkelly
It´s Never Too Hot;Chayell
Geld ;Festland
Riding On Your Love ;J Churcher
Locator;Wilco
The Parallax View (Scandinavian Mix);A Split Second 
Public Relations;Public Relations
Day By Day;Anobis 22
Dodged A Bullet (Bodhi Remix) ;Alice Jemima 
IM U (Tomas Barfod Remix) ;Beacon
Rushing Through My Mind;Josefin Öhrn + The Liberation
Isolation Culture ;His Clancyness
Melody In High Feedback Tones ;Cavern Of Anti-Matter 
Bills;Ultimate Painting
Walnuss;Gurr
Skeleton Tree;Nick Cave & The Bad Seeds 
Drive Me Home;Andrea Schroeder 
