Interpret;Titel
Pablo Nouvelle;Ice
Rae & Christian feat. Siron;Salvation
Etherwood feat. Eva Lazarus;Light My Way Home (Logistics Remix)
Whiney;Komodo
RAAM;Unfold
Beacon ;Still
GIO;Wondrous Love
Kelela ;Rewind (Sporting Life Rmx)
Carly Fox;Under My Skin
Alexis Raphael;Spinach & Lamb
Better Person;Sentiment
Tindersticks;This Fear Of Emptiness
Bakradze;Closure
Monoloc;Try Some
Hiroshi Watanabe ;Aperture Synthesis 
Gacha ;Street Talk
Pumarosa;Priestess
Field Music;The Noisy Days Are Over
The Frozen Autumn;Is Everything Real?
Shearwater;Filaments
Dance Spirit;In Between Spaces
Babyfather;Meditation
Lgoony &Crack Ignaz;Oida Wow
Yung Lean feat. TRavi$ Scott;Ghosttown
Vimes;Mind (Reprise)
The Paper Kites ;Electric Indigo
The Besnard Lakes;Golden Lion
Middlemist Red ;Aanimal
Money;I´ll Be The Night
Anchorsong;Butterflies
Anderson .Paak;Parking Lot
