Interpret;Titel
Quilt;Passersby
Drake;Summer Sixteen
Lord Raja;Shook
Om Unit;Adventures In Eden
PFM;The Western
Haelos;Oracle
Designer + Four Tet;Mothers
Nonkeen;Chasing God Through Palmyra
Pinch feat. Riko Dan;Screamer
Massive Attack feat. Roots Manuva;Dead Editors
Azekel;New Romance (Om Unit Remix)
Massive Attack feat. Azekel;Ritual Spirit
Odesza;It´s Only
Beacon;Backbone
Set Mo feat. Deutsch Duke;White Dress (Wookie Rmx)
Wookie;Battle
Erik Truffaz;Doni Doni (Part 2)
Shigeto;Pulse
Lord Raja;Butterfly On A Jet
Ash Koosha;Mudafossil
Mikael Seifu;How To Safe A Life
Money;I Am The Lord
Love And Rockets;An American Dream
Rihanna;Never Ending
DIIV feat. Sky Ferreira;Blue Boredom
Mary Ocher;In Drag
Ebony Bones;Oh Promised Land 
Yoko Ono feat. Death Cab For Cutie;Forgive Me My Love
Paranoid London;Headtrack
Surgeon;Search
Ty Segall;Diversion
The Equals;Diversion
Sunflower Bean;Creation Myth
