Interpret;Titel
Peaking Lights;Conga blue
Aziza Brahim;Calles De Dajla
Djuma Soundsystem & Yann Coppier feat. King Ayisoba;Anyimu (Jerome Sydenhams Vocal Dub)
Tuff Wheelz;Lagacy
Esachkech;Kochan
Logistics;Fight 4 U
Future;Ain´t No Time
Hannah Lucia;Don´t Hold Out (L Vis 1990 Remix)
Gridlock & Jamal;Future Never Promised
Delta Heavy;City Of Dreams
Major Lazer feat. Nyla & Fuse ODG;Light It Up (DC Breaks Remix)
Rodney P & DJ Die feat. Indigo Kid;Holes In The Building
Yesking feat. Ayak;Love Revolution (Nein Heights Remix)
The Sea feat. Yaz Alexander & Benjamin Zephania;Pressure I (Red String Riddim)
AMJ Meets RSD;The Brave Flute Cut
Skeletons;Success
Yunas Orchestra;Modal Vibrational Phenomena
Material with Graham Haynes;Turn The Screw
Nicholas Krgovich;Out Of Work Jazz Singers
Submerse;Sidequest
Dinner!;Turn Me On
Lust For Youth;Sudden Ambitions
Mexrrissey;Cada Dia Es Domingo
Odesza feat. Zyra;It´s Only (Rüfüs Rmx)
Henry Krinkle;Willow
Alex Dimou feat. Black Soda;This Time (dOP Remix)
DJ Tennis;Divisions (Roman Flügel Remix)
Iggy Pop;Gardenia
Treetop Flyers;Lady Luck 
Death In Vegas feat. Sasha Grey;You Disco I Freak
Dälek;Guaranteed Struggle 
Iggy Pop;German Days
Desert Mountain Tribe;Enos In Space
