Interpret;Titel
Danny B;Love Is 
Kimono;Submotion Orchestra
Kalela;Rewind (Sporting Life Rmx)
Neuropol feat. Marlene Abuah;No More 
Otik;Ember
Beacon;Fault Lines (Dauwd Remix)
Villagers;Set The Tigers Free
Choir Of Young Believers;Jeg Ser Dig
Mark Barrott;Right 4 Me
Adrian Younge;Sandrine
Mild High Club;Timeline
Pink Fairies;The Snake
Hawkwind;Be Yourself
Sam Taylor-Wood With The Pet Shop Boys;I´m In Love With A German Film Star (Mark Reeder Remix)
Motörhead;Motörhead
James Last;Silver Machine
Motörhead;Whorehouse Blues
Fraser A. Gorman;Blossom & Snow
Motörhead;Stay Clean
Lee Hazelwood;These Boots Are Made For Walking
Lemmy & The Upsetters with Mick Green;Blue Suede Shoes
Headgirl;Please Don´t Touch
Lemmy With Wendy O´Williams;Stand By Your Man
Ilija Rudman;So Much (Kaleidoscope Mix)
Joachim Holm & Alejandro Mosso;Tre Melodi (Prins Thoams Version)
DJ Cam feat. Earl Davis;In The Air Tonight
Motörhead ;You Better Run
Motörhead ;God Save The Queen
Motörhead;Ramones
Miles Davis;Fat Time
Motörhead;Deaf Forever
JT The Goon;China Tribute
