Interpret;Titel
Lone;Alpha Weel
Hugh Hardie feat. Benji Clements;Everything Was Nothing
Unknown Mortal Orchestra;First World Problem
Brad;20th Century (´66 Chevelle)
WxT;DWN
Harry Judda;War Bonnet (Roska Remix)
Kepler Sound District;Capsule
Tunng;It´s Because….We´ve Got Hair
Fakear feat. Deva Premal;La Lune Rousse
Skream;Rimz
Rimz;Bad Boy
Monday Club;Ghetto Bird (Richie Blakker Remix)
Steve Gunn;Steve Gunn
Elle P. & Iftah;Devastatingly Handsome
Devastatingly Handsome;Chevron
Mutual Benefit;Mutual Benefit
Allah-Las;Famous Phone Figure
Case/Lang/Veirs;Best Kept Secret
Best Kept Secret;She´s A Rainbow
Garden City Movement;She´s So Untouchable
No Man;Fisky
Messer;Messer
Fujiya & Miyagi;Serotonin Rushes
Venn;Supernature
Deerhoof;Model Behavior
Tom And His Computer;Girl A Go Go
Abe Duque;Futureshock
No Artificial Colours;Bounce (Solardo Remix)
Denis Sulta;My Soul Needs Justice
Nina Simone VS Ogris Debris;See Line Woman (Ogris Debris Edit)
Baby Woodrose;Open Doors
Throws;Learn Something
Swans;Frankie M
Swans;The World Looks Red/The World Looks Black
