Interpret;Titel
Will Horwell;A Foggy Day
AWA feat. Pitbull;Habib Galbi
Quibus feat. Gosto;Save Some
Moonlandingz;Black Hanz
Sonars;Desert Moon
Temples;Strange Or Be Forgotten
Beissoul & Einius;Lion
Otzeki;Already Dead
The xx;On Hold
Bonobo;Outlier
Bauer;My Room, My House
Gurr;Walnuss 
Man Duo;Tanyan Teema
Delorean;Warmer Places
Baywaves;Marsupilama 
Zulu Zulu;Defensa Zebra
Sinkane;Telephone
Woman;Touch (Roosevelt Remix)
Trupa Trupa;The Sky Is Falling
Birthh;Born In The Woods
Holly Macve ;No One Has The Answers
L.A. Salami;The City Nowadays
Paul White;Everything You've Forgotten
Julie´s Haircut;Zukunft
Justin Robertson´s Deadstock 33;Everything Is Turbulence (Sigward Remix)
Tau ;I See You
Wildes;Bare
Skott;Porcelain
Anna Of The North;The Dreamer (Henry Krinkle Remix)
Swedish Death Candy;Living Your Life Away
Elephant9;Fugl Fonix
Loyle Carner;Ain't Nothing Changed
Will Horwell;Tonight 
Bo0b Dylan;Like A Rolling Stone
