Interpret;Titel
The Jesus And Mary Chain feat. Sky ;Black And Blues 
Spoon  ;First Caress
Spoon;Can´t Sit Next To You                     
Formation;Drugs 
Dark Sky                                                    ;Othona  
Dutch Uncles;Oh Yeah (C Duncan Remix)  
Midland                                              ;Final Credits                                       
Drake ;Get It Together                                  
Mel Tillis                                                                  ;Ruby (Retouched By Simian)           
Chuck Berry                                        ;Thirty Days                                          
Digger Barnes                                      ;You Can´t Run From The Devil         
Dodge & Fuski feat. Virus Syndicate  ;Flat Line   
Olsson  ;One In A Million                                  
Beach Fossils                                      ;This Year                                             
Tennis                                                  ;Fields Of Blue                                     
Octo Octa                                            ;Until The Moon Sets                         
Graph                                                   ;Quasi 
Krotone                                                ;Tweak    
Chopstick & Johnjon feat. Fritz Kalkbrenner  ;A New Dub  
Lone                                                      ;Crush Mood                                        
Moullinex                                            ;Love Love Love                                   
Iris Electrum                                        ;Of Tigers And Owls                             
Okmalumkoolkat                              ;Straight To The Top                          
Apollo Noir                                         ;Shared System                                   
Todd Terje                                           ;Jungelknugen (Four Tet Remix)       
Middlemist Red                                                               ;Vanishing Point                                  
Moonlandingz        ;Black Hanz                                           
Björn Magnusson                               ;TV Lights                                              
Karlie Apriori                                       ;Zu Mir                                                   
Drake feat. Sampha;4422
Drake  ;Gyalchester   
Chris Read & Pugs Atomz;Black Nite                                              
Depeche Mode;Cover Me  
Love Machine                                        ;Sun Paradox  
