Interpret;Titel
Freischwimmer;AC/DC
Prins Thomas;Here Comes The Band
Japanese Breakfast;Japanese Breakfast
Nabihah Iqbal;Eternal Passion
Blaue Blume;Macabre
Skream & Billy Turner;Settled (Billy Turner Remix)
Melody´s Enemy;Let´s Begin
Burial;Indoors
Charlotte Gainsbourg;Ring-A-Ring O´Roses
Gengahr;Carrion
Das Lunsentrio                  ;Im Goldenen Hahn
Lindstrøm & Prins Thomas;Turkish Delight
Jitwam;The Love
Wiz Khalifa;Long Way To Go
Sampa The Great;Karma The Villain
Kwake Bass;Acid Test
Martyn;KJLFYE3024
Charlotte Gainsbourg;Songbird In A Cage
The Liminanas;Angels And Devils
Suzan Köcher;Harley Davidson
Pete International Airport;Dance Around The Broken
AC/DC;Baby, Please Don´t Go
Golden Earring;Radar Love
Lindstrøm;Tensions
Paresse;Sloth Machine
Karl Blau;Where Ya Goin´ Papa
Sharon Jones & The Dap Kings;Matter Of Time
Tootard;Nasma Jabaliya
Björk;The Gate
Pauline Anna Strom                                  ;Freedom At The 45th Floor
Klangstof;Names
Gregg Kowalsky;Tunes To Monochrome
