Interpret;Titel
Boys Ride Bikes;Somagwaza II
Warhaus;Well Well
King Gizzard & The Lizard Wizard;Sketches Of Brunswick East II
DJ Python;q.e.p.d.
Four Tet;La Trance
Chicago;I´m A Man
Karl Blau;Slow Children 
Pascal Comelade;Sweet Virginia
Coals;S.I.T.C.
Destroyer;La Regle Du Jeu
The Weather Station;Thirty
Joe Farrell;Canned Funk 
King Gizzard & The Lizard Wizard;Dawn To Dusk On Lygon Street
John Keek;If + When
Fatima;Somebody Else
Special Request ;Catacombs
Mouse On Mars feat. Jessy Lanza;Bluescreen
Lewis James;Shapeshifter
Djrum;Broken Glass  Arch
Furney;Searching For Someone
Synkro;Vanishing Point
Samiyam;Slime
Gucci Mane feat. Nicky Minaj;Make Love
Maurice & Die Familie Summen;Klima
Three Fall & Melane;Ain´t Nobody Got Time For That
Funkadelic Vs Moodyman;Cosmic Slop (Moodyman Mix)
Kele Okereke;Do U Right
Baxter Dury;Porcelain
King Krule;Logos
Blurt;Down In The Argentine
Kelela, Elysia Crampton & Not Adrian ;Reference Track TF Scrape
St. Vincent ;Sugarboy 
Kettcar;Den Revolver Entsichern
Yasuaki Shimizu;Sen – Nen 1
