Interpret;Titel
Man Duo;The Boss
LCD Soundsystem;Change Yr Mind
Prins Thomas;Montague Grant
Pharaos;Muddy Middle Of Nowhere
Mount Kimbie feat. Andrea Balency;You Look Certain
Beatsteaks feat. Jamie T;Hate To Love
TCP;Twonga
Noah Slee;Told
Sieren;U8
Nosaj Thing feat. Zuri Marley;Way We Were
Gucci Mane feat. Migos;I Get The Bag
Nadine Shah;Relief
LCD Soundsystem;Other Voices
Red Axes + Moscoman + Krikor;Subaru Pesha
The Invisible feat. Anna Calvi;Love Me Again (Chaos In The CBD Remix)
Makoto feat. A-Sides;Expandes
Casper;Alles Ist Erleuchtet
Dälek;Few Understand
Maya Jane Coles;Lucky Charm
RIN;Vagabundo
The Dream Syndicate;Filter Me Through You
Dieter Von Deurne & The Politics ;Nuclear Love
Judy Dyble & Andy Lewis ;Summer Dancing 
Trupa Trupa;To Me
The War On Drugs;Thinking Of A Place
Courtney Barnett & Kurt Vile;Over Everything
Dinner;Siren Song
Dinner;Illusions
Lali Puna;Two Windows
Shigeto;Detroit Part II
Belgrad;Osten
Mogwai;Coolverine
