Interpret;Titel
Frankie Rose;Trouble
Amber Arcades;Fading Lines
Slowdive;Star Roving
Nothing;The Dead Are Dumb
Nothing;Fever Queen
Parcels;Overnight
Cymbals;Where Nothing Can Be Defined
FaltyDL;Neeloon (Palms Trax Remix)
Giant Rooks;Bright Lies
Angelo De Augustine;On My Way Home
Crazy P;In My Hands
Grizzly Bear;Mourning Sound
Wargirl;Little Girl
Messer;Der Staub Zwischen Den Planeten
The Homesick;The Best Part Of Being Young Is Falling In Love With Jesus
Shame;Tasteless
Bunny;Soda Pop
Mock;How It Goes
Loyle Carner;Mean It In The Morning
BadBadNotGood;Speaking Gently
Die Höchste Eisenbahn;Gierig
Dark Sky;The Passenger
Died Pretty;Harness Up
Blaudzun;Elephants
Gold Class;Trouble Fun
Hurray Fort The Riff Raff;Hungry Ghost
Blondes;KDM (Barker & Baumecker Remix)
DJ Python;Cual 
The Afghan Whigs;Step Into The Light
Let´s Eat Grandma;One More Chance
CYRK;Reflection
King Crimson;The Court Of The Crimson King
