Interpret;Titel
Dams Of The West ; The Inerrancy Of You And Me 
Sinkane;Telephone
Sti Figa feat. Homeboy Sandman  ; James Lemonade
JosepMrh feat. Kate White;Last Train Home  
DRS feat. Patife & Vangeliez ; I Will  
Synkro ;Summer Blues
Devlin;Corned Beef City  
Devlin ;Bitches
NU  ;Man O To (Be Svendsen Remix) 
Jade Jackson  ; Motorcycle
Entrance ; Always The Right Time  
David Vandervelde  ; Corduroy Blues
Julie's Haircut;Orpheus Rising 
Jens Lekman ; How We Met, The Long Version
Chance The Rapper feat. Knox Fortune  ; All Night  
Jacques Greene ; Real Time
Bloody Mary  ; No Feeling Is Final (Marcel Fengler Remix)
John Monkman  ; Xailo
Moire ; Opium
Blue Fields feat. Ilhem;Paper Cut
Syd ;Dollar Bills  
Haiyti & Die Achse;  Jango  
L'Orange  ; Counting Breaths
Ivory Clay ; Birth
Ivory Clay;Symptomes
Manuela ;Supermarket
Need For Mirrors ; Clarity  
Phil Tangent & Pennygiles ; Bardarbunga
TMSV  ;Send Them Come  
Moresounds  ;Warriah 
Quarta 330 ; The Fairies Homecoming 
Sub Focus ; Lingua
Sleepin´ Giantz ; Badungdeng (DieMantle Remix)
Wrongtom Meets The Ragga Twins;Bacchanal (Lost Midas Remix)  
Ulterior Motive feat. Ben Verse;The Real 
Pictures ;Here I Come
