Interpret;Titel
Goldie                                               ;The River Mirrored                        
Mt. Wolf                                         ;Soteria
London Grammar                           ;Non Believer                                   
Crypticz ;Forever
Troy Gunner                                  ;Concern From Afar                        
Beth Ditto                                       ;Fake Sugar                                     
Swan Bride                                       ;Fear Of The Touch                         
Washed Out                                   ;Hard To Say Goodbye                    
Terrence Parker;Don´t Waste Another Minute      
Rancid;Where I´m Going                            
Michael Nau                                            ;Twelve
Michael Nau                                     ;Done Wonder                                  
Johannes Klingebeil                    ;Intro
Black Uhuru                                       ;Great Train Robbery                        
Ibibio Sound Machine                     ;Power Of 3                                        
A Certain Ratio                                 ;Nostromo A Go Go                           
Warm Digits  feat. Field Music       ;End Times                                          
All We Are                                    ;Burn It All Out                                   
Lea Porcelain                                    ;Endlessly
Marvin Franklin (aus: V.A. La Torre Vol. 2)  ;Kona Winds                                      
The Sound Of Money                       ;I Had 1680 Wives                              
Saint Etienne                                      ;Dive                              
Chmmr;Alles City Beat                                   
Öona Dahl                                          ;I See                                                    
Nina Kraviz                                          ;Pochuvstvui
Nosaj Thing feat. Steve Spacek        ;All Points Back To U                          
Nick Höppner                                    ;From Up And Down                          
Fleet Foxes                                            ;Cassius
Fleet Foxes                                            ;Naiads, Cassadies                                                            
Fleet Foxes                                           ;Kept Woman                                                                               
Diagrams                                               ;Everything
Lola Marsh                                          ;Le Sud                                                    
Arbouretum                                        ;Comanche Moon                                 
Mt. Wolf                                               ;Hamburg
Miwon ;Charezza 
Need For Mirrors                                  ;Maxim
Dave Owen & T.R.A.C.                         ;Bossin´ Over    
