Interpret;Titel
Sunshine And The Rain;Little Rag Doll
Major Lazer feat. Partynextdoor & Nicki Minaj;Run Up (Sub Focus Remix)
Rowpieces;How Does It Feel
Skream;You Know, Right? (1991 Remix)
Margari´s Kid;PWD
Mr. Mitch;Our Love
Pumarosa;Honey
Woman;Dust
Dusky feat. Pedestrian  VS Nuage;Spruce
Leiik;Window (La Leif Remix)
Chrysta Bell;Gravity
LCD Soundsystem;Call The Police
Fujiya & Miyagi;Serotonin Rushes
!!!;Dancing Is The Best Revenge
Alma Negra;Endless Summer (Soulphiction Remix)
Algiers;The Underside Of Power
Coldcut X On U Sound feat. Roots Manuva;Vitals
Peverelist;Slice Of Life
Near;Static
XXXY;Get Banged
When `Airy Met Fairy;Girl
Diagrams;It´s Only Light
Seahawks;Valparaiso
Skeletons VS Map.ache;All I Want Is You (Map.ache Remix)
The Mulholland Free Clinic;Gone Camping
Slugabed;Levitating Above My Own Useless Body
Glassmasterer;Checker´d
Woman;Control
Elizabeth Merrick-Jefferson;Three Happiness
Girlpool;Kiss And Burn
Hazel English;Fix
Nick Cave And The Bad Seeds;The Weeping Song
Nick Cave And The Bad Seeds feat. Kylie Minogue;Where The Wild Roses Grow
Los Angeles Police Department;The Plane 2
