Interpret;Titel
Die Toten Hosen;Unter Den Wolken
Chastity Belt;Different Now
Autarkic;Rotation! Rotation!
Midnight Dicers & Samy Morpheus  ;Find A Place (Beyond Space And Time)
Cohenbeats;Collieflower
Cohenbeats;Milk And Honey
AKTR;Ihavenothing
Parker Madicine;Heartbreaker
Astrocat;Smalltalk
Rob Thomsett;Sunday 23 May
Oh No;Magic Soul
Black Attack;My Crown
Klaus Doldinger´s Passport;Mandragora
Cisneros And Garza Group;I´m A Man
DSC;Far Reaching
Override;Hard 2 Breathe
Boxwork;Phant
London Grammar;Big Picture (Lindstroem & Thomas Remix)
Autarkic;Bongos & Tambourines
Kreidler;Radio Island
Lord Echo;Just Do You
Roosevelt;Teardrops
Ill Camille;Home
Curtis Mayfiled;Think
Manuela;Supermarket
The Courtneys;Silver Velvet
Mavi Phoenix;Aventura
The High Corporation;Paranoid Again
Tom Misch feat. Novelist;Feeling
Mount Kimbie feat. James Blake;We Go Home Together
Future Islands;North Star
BeWider;Shaping Lights
LittleCub;Loveless
Midland;Final Credits
Dauwd – Lusine Radio Mix;Take Four
Weval – Lusine Radio Mix;You´re Mine
The Acid – Lusine Radio Mix;RA (David August Remix)
Daphne;Ahora
Lusine feat. Vilja Larjosto;Just A Cloud
Alpines;Heaven
