Interpret;Titel
S.P.Y.;Keep On Searching
Addiction & Villem;Someone Somebody
Mr. Mitch;Our Love
Dauwd;Leitmotiv   
Edu Imbernon & Duologue;Underworld (Tom Demac Remix)
Tinie Tempah feat. Jess Glynne;Not Letting Go
Rygby feat. Medic MC;Same Old
Goldie;Inner City Life (Burial Remix)
Michelle Mininni;Rave Oscillations
Actress;X22RME
Com Truise;Memory
Autarkic feat. Xen;Wipe The Shame
Midnight Dicers & Samy Morpheus;Find A Place (Beyond Space And Time)
Franz Matthews;Ostkreuz
Woman;Marvelous City
Little Cub;Breathing Space
Millionaire;Guru´s Feet
Blue Hour;Faithful Eventide
Komon & Will Saul;Harmonise
Joe Goddard;Children
Farbror Resande Mac;Aniara
The Jesus And Mary Chain;Amputation
Sunshine & The Rain;I´m Not Your Girl
The Courtneys;Country Song
Fazerdaze;Lucky Girl
Rolling Blackouts C.F.;Dig Up
Pond;Paint Me Silver
BNQT;100 Million Miles
Noga Erez;Off The Radar
Solex;Good Comrades Go To Heaven
Mark Lanegan;Drunk On Destruction
Los Angeles Police Department;Grown
Pilgrims Of Peace;The Slipper
Ulrich Troyer;Horny Chiptunes
