Interpret;Titel
Can ;Vitamin C
Maya Jane Coles;Passing Me By
Omer Grinker & Pellon;Innocent (Monkey Brothers Remix)
Bicep;Opal
AC Meadows;Siren
Throwing Shade;Wonderful Sushi
Austin Ato;Music Will Save The Day (Dub Mix)
Hercules & Love Affair;Are You Still Certain
Ariel Pink;Santa´s In The Closet
Alex Cameron;True Lies
Mount Kimbie;Delta
Sieren feat. Synkro;Lost You
Om Unit;Out Of The Shadows
Jessie Ware;Midnight (Goldie Remix)
Jamila Woods feat. Nico Segal;Breadcrumbs
HIeroglyphic Being & A.R.E.;The Doctrines Of Swedenborg
Haco;Tidal
Casper;Deborah
Gucci Mane feat. Migos;I Get The Bag
RIN;Blackout
Odesza feat. Kelsey Bulkin;Divide
Mogwai;Party In The Dark
Uffe Lorenzen;Flippertøs
Doc Daneeka;Better Dayz
LCD Soundsystem;Losing My Edge
Gorillaz;Stylo
Eddy Grant´s Coach House Rhythm;Time Warp
Prins Thomas;Montague Grant
Liars;Staring At Zero
Holger Czukay;Persian Love
Dinner;Don´t Belong
Monostadt;Denk Was Du Willst
Better Person feat. Roy Molloy;Zakochany Czlowiek
Alex Cameron;Candy May
Lee Ranaldo feat. Sharon Van Etten;Last Looks
