Interpret;Titel
Tuxedommon;No Tears
Silver Columns;Cavalier
White Hills;Stop Mute Defeat
The Bravery;An Honest Mistake
Dodi Palese;Child Goes Funky
Frank Butters;Rubber Bullet
Lea Porcelain;Similar Familiar
Kosmonovski;Echo
The Sound Of Money;I Had 1680 Wives
Art Feynman;Feeling Good About Feeling Good
Bunny;Face Your Own
Hans Maria Richter;Hey Hey Hey
Phoenix;Fleur De Lys
Washed Out;Get Lost
Mr Little Jeans;Stitches (Bullion Remix)
Ray BLK;Doing Me
Murlo;Moss
Deadboy;Lo Heat
Goldie;Tu Viens Avec Moi?
Goldie;Redemption
Bende feat. Mattie Safer;Back To Summertime (This Soft Machine Remix
The Mountain Goats;Shelved
Traffic;Freedom Rider
London Grammar;Leave The War With Me
Nick Höppner;All By Themselves (My Belle)
Flori;Life Signs
Johannes Klingebeil;Intro
London Grammar;Non Believer
The Wooden Sky;Born To Die
Hidden Orchestra;Alyth
YAK;Mido
Swayzak;Gestures Of A Sycophant
Deadboy;Rain
