Interpret;Titel
Goldie feat. Ulterior Motive;I Adore You
Trudge;When The Rain
Yung Hurn;Diamant
Future feat. The Weeknd;Comin Out Strong
Maniac;Go
Porter Ray feat. Cashtro, The Palaceer, Shabazz Palaces;Sacred Geometry
Porter Ray feat. Infinite, Stas Thee Boss, Theesatisfaction;Arithmetic
Moresounds;Ting N Tings 
Andrezz;Take You There
Parker Madicine;Heartbreaker
Matt Flores;Woodie
ARY;Childhood Dreams
Joakim;Fantomes
Joakim;Samurai
In The Midst;In The Midst
Gonjasufi;Your Maker (Daddy G Remix)
Methyl Ethel;Weeds Through The Rind
Chrome Sparks;Wake
Alt-J;3WW
My Baby;Moon Shower
Howling;Phases
Venn;Bigger Fiction
Real Estate;Stained Glass
The Shins;Heartworms
Temples;Oh The Saviour
Wall Of Death;Dreamland
Jade Jackson;Finish Line
Tuxedo;2nd Time Around
Oddisee feat. Toine;Nnge
Bergfilm;California
NTEIBINT;Love
Sun Kil Moon;Stranger Than Paradise
Gil Scott Heron;“B” Movie
