Interpret;Titel
Tu Fawning;Lonely Nights
DOP;3 Suitcases
Anna Calvi;No More Words
DZA + Non + Mujuice;Bulls Eye (Dizz1 Rmx)
Benoit & Sergio;Where The Freaks Have No Name
Sully;Black Projects
Hem feat. Terrible Shock;On A Mission
Untold;Anaconda (Tribal Guarachero Rmx)
Nicolas Jaar;Russian Dolls (Ryan Crosson Rmx)
Gabriel Ananda;Love Attack
Soul Mekanik;The Heat
Steff;Piem
Four Tet;This Unfolds
Shackleton;Hackney Marshes
James Blake;I Only Know What I Know Now
Shadow Huntaz;DJ Screams Medic
Koolade feat. Diamond D & Sadat X;The Makings
YG´Z;Street Nigga
fLako & Berghem;PutChurHandUp
Shad;Keep Shining
Talib Kweli;How You Love Me
MJT & Wreckage Machinery;Colors
Sigma & Logistics;Dreams 2 Reality
NU:Tone feat. Natalie Williams;Shine In
Fearless feat. Lois;Not Too Late (Cutline Vocal Mix)
Pteradactil Disco;Clive´s Alright
Kitbuilders;City Of The Damned
Le Corps Mince De Francoise;Gandhi (MVSEVM Rmx)
The Suzan;Home
Die Peanuts;Fudschijama Moon
Stephan Bodzin & Marc Romboy;Callisto (Joris Voorn Rmx)
