Interpret;Titel
Nu:Tone feat. Heidi Levo;Coming Back
Om Unit;Lavender
Kidkanevil;One For Tokyo
Gold Panda;Marriage
Falty DL;Tell Them Stories
Matthew Dear;Slowdance (Todd Edwards Rmx)
SBTRKT feat. Sampha;Living Like I Do
Chase & Status feat. Liam Bailey;Blind Faith
Jason Sparks;Feeling Invincible
Arnaud Rebotini;Personal Dictator
I'm From Barcelona;Skipping A Beat
Cloud Control;Into The Line
Arbouretum;Highwayman
The Vaccines;If You Wanna
Sic Alps;Saint Peter Writes His Book
Onra;Roger's Waltz
Onra;High Hopes
Ready For The World;Oh Sheila
Munk;Keep my Secret!
Ira Atari;Follow
Pharoahe Monch;Haile Selassie Karate
Boss Kite;The Manifesto
Kevin Knapp;Like This
Sid Le Rock;Made For You (Soul Center Rmx)
Ricardo Villalobos/Los Updates/Anthony Collins;I Throw Water Into The Lake
My Panda Shall Fly;Injury (Do Re Mi Rmx)
Frivolous;Back Into The Deep
Art department feat. Seth Troxler;Live Your Life (ABA Therapy Version)
Kurt Vile;Runner Ups
Imaad Wasif;Widow Wing
William The Contractor;Above The Clouds
Mizz Beats;Sanctuary
Nuage;Remember The Lights
Amelia;All The Funk I Need (Atjazz Love Soul Rmx)
The New Wine;Eileen
