Interpret;Titel
Hudson Mohawke;Thunder Bay
Ossie;Set The Tone
Zomby;Florence
Zanshin;Syzgy In Canis Major
Jean Michel;Trick
George FitzGerald;Silhouette
Machine Drum;U Don´t Survive
Falty DL;Jack Your Job
Blood Orange;Toshito (In Flagranti Rmx)
Silicon Soul;Time Mariner´s Mirror
Zarif;Over (Breakage Rmx)
Red Snapper;In Your Backs
Bop;The Amazing Adventures Of One Curious
Hype Williams;Rise Up
Washed Out;Soft
Subb-an feat. Anomaly Jonez;Positive Expression
Eskmo;We Got More
Casper;Das Grizzly Lied
Cora E.;Schlüsselkind (Fat Rmx)
Jehst;Killer Instinct
Wiley;Wise Man And His Words
William D. Drake;The Mastodon
Mimas;Sodapop Stalkers
31Knots;A Lot Can Tell
Panther;Violence, Diamonds
The Dirtbombs;Cosmic Car
Handsome Furs;When I Get Back
Yacht;Tripped And Fell In Love
Surrender feat. Constanza;Falling Into You
Locas In Love;An Den Falschen Orten
Memory Tapes;Wait In The Dark
Casper;Blut Sehen
Young Montana?;Sacre Cool
Fastpoholmen;Godnatt Mamma
