Interpret;Titel
Sten ;More Stash!
Quest ;Deep Inside
Crystal Castles ;Courtship Dating
Patrick Chardronnet ;Days Like These
Bodies Of Water ;Water Here
Yeasayer ;Wait For The Summer
Sunset Rubdown ;The Courtesan Has Sung
The Woodentops ;Wheels Turning
The Dodos ;Fools
The Chameleons ;Tears
Bon Iver ;re:stacks
The Precious Mings ;Quack Horse
Darwin Deez ;Radar Detector
French Cowboy feat. Lisa Li-Lund ;The End Of The Story
Gabriel Ananda ;Coconut Blues
Fleet Foxes ;White Winter Hymnal
The National ;Gospel
Okkervil River ;Bruce Wayne Campbell
Death Vessel ;Peninsula
Martina Topley Bird ;Trust Me
Giant Sand ;The New Romance Of Falling
Matana Roberts Quartet ;Nomra
Bright Black Morning Light ;Everybody Daylight
Iron And Wine ;Peace Beneath The City
Fink (UK) ;The Model
Fink (UK) ;So Long (extended Instrumental)
Dengue Fever ;Unknown Track
My Brightest Diamond ;Like A Sieve
Son Ambulance ;Constellations
Kraftwerk ;Morgenspaziergang
Pivot ;Fool In Rain
Antibalas ;Battle Of The Species
Foals ;The French Open
Herman Düne ;Glory Of Old
