Interpret;Titel
Matty G ;The 808 Bass
Survival ;The Source
Xberg Dhirty6 Cru ;Raststätte
Roots Manuva ;Well Alright
TV On The Radio ;Dancing Choose
The Model ;Pleasure Master
Bollock Brothers ;GDM
Neonman ;Too Quick Too Much
Susanne Blech ;Nimm Den Andi Mit
Skepta ;Tingles
Tittsworth feat. Michelle Bell ;Almond Joy
Daniel Haaksman feat. MC Jennifer ;Who´s Afraid Of Rio
Spank Rock ;B-o-o-t-a-y
Kode9 ;Konfusion (Dub)
Sami Yam ;Return
Data ;Rapture (The Skywriters Remix)
Morgan Geist ;Detroit
Raudive ;Christmas Tree
Martyn & Marcus Intalex ;After Seven
L.V. feat. Dandelion ;CCTV
Forsaken feat. Mr Jo ;Into The Sunset
The Walkmen ;Donde Esta La Playa
Sines ;Test Two
Cyrus ;Golden Gate
Kode9 feat. Ms Haptic ;Curious
Darkstar ;Need You
Portishead ;The Rip
Flying Lotus feat. Laura Darlington ;Auntie´s Lock/Infinitum
Random Trio ;Whispers
DBridge Feat. Instra:mental ;Blush Response
Black Pocket ;U Re A Sta (Martyn Remix)
Martyn ;Natural Selection
Atjazz ;Heavy Weather
