Interpret;Titel
Elastica;Smile
Ghost Woman;Demons
A Certain Ratio;Down And Dirty
Kero Kero Bonito;Well Rested
New Young Pony Club;The Get Go
Blackdown;This Journey VIP
Girl In Red;.
Anim;Count To Ten
Ya Tseen;Close The Distance
Tommy Farrow;Between Two Planets
Eulenspygel;Till
Anika;Finger Pies
The Cool Greenhouse;The End Of The World
Squid;Pamphlets
Danger Dan;Eine Gute Nachricht
Young Thug feat. Lil Duke & NAV;Pots N Pans
Flying Lotus;The Eyes Of Vengeance
Haftbefehl;Lebe Leben
Rosé;Wheel Up
Bugzy Malone;Salvador
Poundz feat. BackRoad Gee & iLL BLUE;Chocolate Darling
Flying Lotus feat. Thundercat;Black Gold
Burial;Dark Gethsemane
Kynda Gray;Laut
Leon Vynehall;Dumbo
YokoO;Ornella
Audiojack & Jem Cook;Feels Good (Patrice Bäumel Remix)
Biesmans;When Will It Stop
Telex;Moskow Diskow (French/Remastered)
Lou Hayter;Time Out Of Mind
Cro;Summerlove
Zeitgeist Freedom Energy Exchange;Everyday Blessing
Alfa Mist;Coasting
Piroshka;Scatching At The Lid
Teenage Fanclub;Everything Is Falling Apart
