Interpret;Titel
Maroki;Birchgrove Pleasure Gardens
Ross From Friends;The Daisy
Sansouni;Marbella
Nura;Alles Was Du Willst
Becky Hill feat. S1mba;Could Be My Somebody
Main Phase;Freaky
Homeshake;I Know I Know I Know
Jaden feat. Babe Rainbow;Our Psychedelic Love Story
Jaden;Cabin Fever
Burkini Beach;Virtual Reality
T.R.A.C. & Maverick Soul;Slow Down
Mr Joseph;Com´on Now
Eyedress;Body Dysmorphia
Chvrches;Final Girl
Halsy;You Asked For This
Halsy;I Am Not A Woman, I´m A God
Halsy;Darling
Levin Goes Lightly;Flirren
The Bug feat. FFSYTHO;How Bout Dat
Namasenda feat. Mowalola;Banana Clip
Mark Hawkins;Can´t Let You Do This
Roland Clark;All My Friends (RC Big Hug Rmx)
DJ One Five;Love Talk (Jon Dixon Rmx)
Kiefer;Crybaby
Steve Gunn;Good Wind
Lorde;Big Star
Ela Minus feat. Helado Negro;Close (Buscabulla Rmx)
caro♡;Hide Me Here
Devendra Banhart & Noah Georgeson;A Cat
Duval Timothy;Whats App
Burkini Beach;The Load Out
Big Red Machine feat. Fleet Foxes And Anais Mitchell;Phoenix
Crosby, Stills & Nash;Pre-Road Downs
Donkey Kid;Deep Blue
Degrees Of Freedom;I Said It Once
Bodysync feat. Nite Jewel;Forever
Drangsal;Ich Bin Nicht So Schön Wie Du
Luis Ake;Sommer
