Interpret;Titel
Biome;Space
downstairs J;Viewing Space
DJ Python;q.e.p.d.
Cedric Burnside;Srep In
Hiatus Kaiyote;Red Room
Tyler, The Creator;Wilshire
Anushka;Speak To Me
Sweatson Klank;The Road To Love
Affkt feat. Dutja Gutierrez;Let It Burn
Robbing Millions;Dynamic Plants
Robbing Millions;Mont De Piete
Dis;Uptown
Skore Beezy;Beef With The Mali´s
K-Trap feat. Do Road;Maths
Ronan;Call Of The Wild
Tim Reaper & Comfort Zone;All The Time
ASC;Lucid Dream
Low End Activist;4am (Park End Refix)
Squirrel Flower;Pass
Spencer Cullum;Imminent Shadow
Jose Gonzalez;Visions
Cedric Burnside;Love Is The Key
Beabadoobee;Animal Noises
Tyler, The Creator feat. Lil Wayne;Hot Wind Blows
John Carroll Kirby;Jubilee Horns
Jeff Özdemir & Daniel Raymond Gahn;Bonjour Klaus
Tristan Arp;Alternate Looking Glass
Baltra;Work (It) Out
Mykki Blanco;Fuck Your Choices
Abase X Zeitgeist feat. Dumama;Body Mind Spirit
Just Wondering;Bicycles
Eli & Fur;I Can´t Move
Ilan Blackstone;Hold On
Helado Negro;Gemini And Leo
Faye Webster;Cheers
