Interpret;Titel
Loyle Carner;Yesterday
Little Brother featuring Jozeemo;That Ain´t Love
Madlib & Four Tet;The New Normal
Eli & Fur;Otherside (Dosem Rmx)
Booka Shade feat. Polly Scattergood;Perpetual Light
PVA;Divine Intervention
Squid feat. Martha Skye Murphy;Narrator
The Rapture;House Of Jealous Lovers
Indigo Sparke;Everything Everything
Celeste;Tell Me Something I Don´t Know
Celeste;Stop This Flame
Gregory Porter;Liquid Spirit (Claptone Rmx)
Need For Mirrors;Swerb
Jozef K;Play
AFFKT;Torpedo
The Notwist;Stars
The Notwist;Exit Strategy To Myself
Mother Of Mars;Durga & Demon
Dagobert;Aldebaran
Berries;Copy
Permafrost;Femme Fatale
TV Priest;Saintless
TV Priest;Decoration
Arlo Parks;Caroline
Young Marble Giants;Searching For Mr Right
Heist;Celestial
T.R.A.C. feat. Submorphics;Life In Motion (Carlito & Addiction Rmx)
Arlo Parks;Green Eyes
Yxng Bane feat. Nafe Smallz & M Huncho;Dancing On Ice
Yo Trane;Stay Down
Madlib & Four Tet;Dirtknock
Yuma;Smek (Ricardo Villalobos Rmx)
Dateless;Bee
Aluna;Warrior (Salute Rmx)
Salute;Jennifer
DJ Q;All That I Could (Octo Octa Rmx)
