Interpret;Titel
DJ Stix;Yesteryear
Beat Merchants & T.R.A.C.;Back On My Griz
Eric Burdon Declares WAR;Tobacco Road
Rejjie Snow & Snoh Aalegra & Cam O´bi;Mirrors
Stimulator Jones;Dungeon Master
TrommelTobi;Beach Time Baybee
Kiefer;When There´s Love Around
Alex Mayr;Margaritas
The Sound Of Money;I Had 1680 Wives
Die Liga Der Gewöhnlichen Gentlemen;Männer Mit Schönen Haaren
Redlight;Every
BluePrint;Sleeping On Your Dreams
FRS;Imaginary
Sonny Ism;Vibe Science
Torres;Don´t Go Puttin Wishes In My Head
Desperate Journalist;Personality Girlfriend
Alinka;Control (Johnny Aux Rmx)
Fuckpony AKA Jay Haze;Something Else (What Goes Around)
Lauren Ritter;Quartz (Lawrence Rmx)
Caro;Over U
Vanishing Twin;Big Moonlight (Ookii Gekkou)
Suuns;Witness Protection
Unglued;Reminisce
Fox feat. Biome;Don´t Hate My High
The Darker The Shadow The Brighter The Light;Love Is An Aching Tooth
Duskee & Sl8r;Evolving
Koreless;Shellshock
Metra Vestlud;Spring Walks In The Bird Park
The Goon Sax;Bathwater
Unknown Mortal Orchestra;Weekend Run
Hardtwald & MB Valent;Klassenerhalt
B Young;Come Alive
