Interpret;Titel
Grrrl Gang;Honey, Baby
Roosevelt;Easy Way Out
Mata Jones, Alfrank;We Go Party
Martin Badder feat. Pablo:Rita;Phase
Francois & The Atlas Mountains;Lee-Ann & Lucie
Digga D feat. M1llionz;No Chorus
Otik;Seasonal FX
Calibre feat. DRS;Say Enough
Machinedrum feat. Tanerélle & Mono/Poly;Star (A$AP Ferg Remix)
Jimmy Edgar feat. Rachelle Jordan;Crank
Darjeeling;Bisous
Twisk;The Elephants
Ron Gallo;Wunday (Crazy After Dark)
Altin Gün;Yüce Dağ Başında
Brijean;Feelings
Nick Warren & Nicolas Rada;Dead Eyes Opened
Wolf Alice;The Last Man On Earth
FFSYTHO;Ask About Me (Jabru Rmx)
Adrian Younge;The American Negro
Adrian Younge;Revolutionize
Danny Byrd feat. MC GQ;Salute (Remarc Remix)
Command Strange & L-Side;The Breed
Love Machine;Düsseldorf – Tokyo
Jane Weaver;Stages Of Phases
Azita;Our Baby
Love Machine;Gunst Der Dinge
Love Machine;Lieblingsbar
Otik;3rd Party
Subb-an;Airtight
RDL;Streets
Kreator;Clean Living
