Interpret;Titel
Sir Mix-A-Lot;One Time큦 Got No Case
Rejjie Snow feat. Tinashe & grouptherapy;Disco Pantz
Rema;Soundgasm
Nasaya & Maro;Tempo
Who Else & Albuquerque;Life Dilemma
Doss;Strawberry
Pom Pom Squad;Head Cheerleader
Sophia Bel;You're Not Real You're Just A Ghost
Wet Leg;Chaise Longue
The Cool Greenhouse;The End Of The World
The Lounge Society;Television
Eton Crop;It큦 My Dog, Maestro
Pip Blom;Keep It Together
Kuoko;Making Friends Is Easy
Mykki Blanco;F*ck Your Choices
TOM� feat. I Am Tim;A Different You
Rostam;Unfold You
Kings Of Convenience;Rumours
Khruangbin;Right
Mykki Blanco;Free Ride
Peggy Gou feat. OHHYUK;Nabi
Mystery;Mystery Girl
Mykki Blanco feat. Jamila Woods & Jay Cue;Love Me
Joeski;Lesson큦 Learned
Kiimi;Breaking My Mind
Noel Gallagher큦 High Flying Birds;Black Star Dancing
Pink Turns Blue;Touch The Skies
The Lounge Society;Burn The Heather
Squid;G.S.K.
DJ Y;Modern Wank
ASC;Slow Down
ASC;Lucid Dream
Inja;Smile & Wave
Sl8r, Slay & Chimpo;Falling
Mieux;In My Prime
Amenazzy, Farruko, Myke Towers & Rochy RD;Rapido
Conclave;Rise
Twisk;Mind The Gap
Robbing Millions;Camera
