Interpret;Titel
Kikagaku Moyo;Fluffy Kosmisch
Sea Moya;Vineland
Little Dragon;In My House
Austin Ato;Awakasi
Swizz Beatz feat. Nas;Echo
Ryley Walker;Busted Stuff
TSVI feat. Miragal;Safi
Akito;Gone Again
Ross From Friends;Squaz
Klauss & Craig;Repeat After Me (DJ Deep & Traumer - Free Your Mind)
Methyl Ethel;Real Tight
King Champion Sounds;What Amanda Meant
Swedish Death Candy;A Date With Caligula
Armless Kid;Internet Love (ZAV Mix)
Kelela;Truth Or Dare (LSDXOXO Remix)
CupcakKe;Garfield
Swizz Beatz feat. 2 Chainz;Stunt
Lewis James;Praying Out Loud
Alpines;3D
Murder He Wrote feat. Maddy Ellerby;Air
The Liminanas;Nuit Fantome
Denis;Mondo Amore
Tom Allan & The Strangest;By My Side
Kikagaku Moyo;Orange Peel
Two Medicine;SF
Still Parade;Vitamin
Reto A Ichi;Zato Lullaby Pt. 2
James Heather;And She Came Home (Mary Lattimore Rework)
Farao;Triumph Over Me
Alpines;Full Bloom
Falty DL;A Day At The Races
Phase 2;No ONe Can Hear You Read
Nao;Yellow Of The Sun
Humans;Going Late
