Interpret;Titel
Isuzu;Die Dry
Peggy Gou;It Makes You Forget (Jamal Moss Remix)
Strict Face;Dial Fantasie
Marlon Hoffstadt;Into The Deeper Vibe
Mosso;Hozho
Maya Jane Coles;Don´t Leave
Jeff Tweedy;The Red Brick
Farai;Talula
Peel Dream Magazine;Deetjen´s 
Whiney feat. Lakeway & Degs;The Edge
Fracture;Dropping You
Need For Mirrors;Nylon
The 1975;How To Draw/Petrichor
Maya Jane Coles;Other Side
Alpines;3D
Friendly Fires feat. Disclosure;Heaven Let Me In 
Big Wild;Friendly Fires feat. Disclosure
Steve Mason;Walking Away From Love
Deena Abdelwahed;Al Hobb Al Mouharreb
John Tejada;Sfumato
Whiney feat. Inja;Mission
Whiney feat. Mr. Porter;Shards
Need For Mirrors;Mother Maiden Crone
The Wide;Fearkilling Love
Takeleave;Cosmic Bath
Waajeed;From The DIrt
6ix 9ine feat. Nicki Minaj & Kanye West;Mama
The 1975;Mine
P.A. Hülsenbeck ;Stairs Of Alfama
Raoul Vignal;Pepa´s Eyes
Jibóia;Diapason
Club Paradise ;Club Paradise 
Moire;Lisbon
Jay Daniel;Sundance
The Charlatans;My Beautiful Friend (Lionrock Remix)
Blackberries;Disturbia
