Interpret;Titel
DMA's;Dawning
Lewsberg;Chances
A Place To Bury Strangers;Frustrated Operator
Famous Dex;Them Days
Brawther;Theme From The Dungeon
Catnapp;Fade
Oliver Yorke;Totem
Portico Quartet;View From A Satellite
Hatchback;Haiphong Boogie
Okkervil River;Family Song
Laura Veirs;Margaret Sands
Xxxtentacion feat. Joey Bada$$;Infinity (888)
LL Cool J;Funkadelic Relic
Glenn Astro & Hodini;Funky Dude
Coldplay feat. Avicii;A Sky Full Of Stars
Fakear;Next Life
Perel;Myalgia
Gaz Coombes;Deep Pockets
Odd Couple;Fangdannan
International Music;Metallmädchen
Datashock;Hullu Gullu, Wir Liefern Shizz
Autarkic;Bongos & Tambourines
Sex Judas Feat. Ricky;All Good Junkies
Kamasi Washington;Fists Of Fury
Paul White;A Chance
C.A.R;This City (Michael Mayer Remix)
Perel;Alles
Young Thug feat. Lil Uzi Vert;Up
Cardi B feat. Migos;Drip
Stella Donnelly;A Poem
Die Nerven;Dunst
Tilbury;Drama
Omar Souleyman;Kayen
