Interpret;Titel
DJ Cam feat. Earl Davis;In The Air Tonight
Meek Mill;Intro 
Gucci Mane;This The Night
Teebs ;Birthday Beat
Bilderbuch;Checkpoint (Game Nie Over)
Bilderbuch;Lounge 2.0
Maya Jane Coles;Don’t Leave
Michael Rother;Groove 139
Kid Simius;Planet Of The Simius
Toro Y Moi;Ordinary Pleasure
Dave Pike Set;Mathar
Die Goldenen Zitronen;Nützliche Katastrophen
Die Kerzen;Du & Misa
Leikeli47;Top Down
Buzzcocks;Ever Fallen In Love
Buzzcocks;Fast Cars
Bob Mould;Sunshine Rock
Hüsker Dü;Don´t Want To Know If You Are Lonely
Doughboys;Why She´s A Girl From The Chainstore
Doughboys feat. Wiz;Lucky
Mega City Four;Square Through A Circle
Buzzcocks;Sixteen Again
The Nomads;16 Forever
Buzzcocks;Orgasm Addict
Die Toten Hosen feat. Steve Diggle;Harmony In My Head
The 1975;Give Yourself A Try
Joy Division;Disorder
Buzzcocks;Noise Annoys
Noise Annoys;Call Me On Monday
Albrecht Schrader & The Düsseldorf Düsterboys;Marijke Amado
Pete Shelley;Witness The Change
Buzzcocks;Nothing Left
Gurr feat. Eddie Argos;Christmas Holiday
Rafael Kasma;Irrational Pig (Youandewan Remix)
LMYE;The Gift
Maya Jane Coles;Heroes
Wiki, Jesse James Solomon & Obongjayar;Elixir
The Who;Magic Bus
Steve Mason;Walking Away From Love
Paul Weller;Circles
Superpunk;Matula Hau Mich Raus
Superpunk;Parties In München
