Interpret;Titel
Datashock;Eine Brise Exotik
Alejandro Mosso;Uyuni
Fakear;Consciousness
Rich The Kid;Small Things
Gang Gang Dance;Lotus
Redlight;Equinox
Nitri feat. MC Fats;Vision
Len Leise/Jura Soundsystem;Udaberri Blues
Sly & Robbie Meets Nils Petter Molvaer feat. E.Aarset & V. Delay;Norwegian Sword Fish
Glenn Astro & Hodini;Magic America
Ron Basejam;The French Exit
Eleanor Friedberger;Make Me A Song
Perel;Alles
Chrome Sparks;Rocket
Metropolitan Soul Museum;No Pressure
Jon Dixon feat. Marcus Belgrave;Erudition
Die Nerven;Roter Sand
Mugwump;Tediously
Mugwump;At The Front
Fenne Lily;On Hold
Lord Huron;Wait By The River
L.A.Salami;Generation L (ost)
Oliver Yorke;The Chamber
Unglued;Chicken In A Spacesuit
Marenn Sukie;Feels Like Love
Leon Vynehall;Envelopes (Chapter VI)
UFO361 feat. Trettmann;Dream
Rich The Kid feat. Trippie Redd;Early Morning Trappin
Cardi B feat. Bad Bunny & J. Balvin;I Like It
Sirkus;Goldmine Of Truth
Jus Jam feat. Momia;Springtime
