Interpret;Titel
Beats International;Dub Be Good To Me
Fat Freddy´s Drop;Trickle Down
Valerie From The Galerie;Paradis
Herve & Marc Spence;To The Sound
The Vryll Society;Inner Life
Still Corners;In The Middle Of The Night
Pish;Crime
EMF;Search And Destroy
Stats;I´m An Animal
Nothing;Blue Line Baby
Jazz Against The Machine;Come As You Are
Bad Sounds;Evil Powers
Unknown;Hot Like Jam
Helena Hauff;Lifestyle Guru
The Emperor Machine;We Play Perfect
Attraktta;Distance In Ultrablue
Tim Reaper & Drumlinezz;Deep Into Space & Back
Paul SG ft. Danny Wheeler;Start A Fire
The Rum Baba;Hollywood
Denzel Curry;Black Balloons
Mndsgn;U & YA FRENZ
Haiyti;American Dream
Mac Miller;Jet Fuel
Bird Pen;This Is Your Life
Jaakko Eino Kalevi;Emotions In Motion
Neneh Cherry;Kong
Tirzah;Do You Know
Roska feat. Alesha Lee;Over You
Soundbwoy Killah;Turn Off The Lights
Jungle;Heavy California
Field Division;Innisfree (Let´s Be The Peace Now)
HTRK;More To Enjoy
The Myrrors;The Blood That Runs The Border
Arbouretum;Comanche Moon
Santigold;Run The Road
