Interpret;Titel
Foreign Beggars feat. Kate Pempest, Bangzy & Bionic;6 Million Stories
Skream;Listenin' To The Records On My Wall
Everything Is Recorded feat. Giggs;Wet Looking Round
Jada;Keep Cool
Syd;Dollar Bills
Sleight Of Hands;How Long
PTTRNS;Armado
U.S. Girls;Time
Noseholes;Lush Box
Vizediktator;Hamburg Schmerzt!
Robert Earl Thomas;I Remember
Rejjie Snow;Rainbows
Nadine;Not My Kinda Movie
Dabrye feat. Fatt Father;Stranded
Foreign Beggars feat. Marcello Spooks & Bangzy;Bosh
Bugzy Malone;King Of The North
L-Side feat. MC Fats;High Times
Melissa Laveaux;Angeli-Kø
Cassia;Sink
Rejjie Snow;The Rain
Rejjie Snow;Skinny Jasmine Intermission
Rejjie Snow;Spaceships
Garden City Movement;Passion Is A Dying Theme
Matt Flores;Virgo & Taurus
Sweatson KLank;Wanted More From '84
Hatchback;Creamwave Dreamcave (Body-San Remix)
Foreign Beggars & Monster Florence;Ginger Tea
       Foreign Beggars feat. Josh Bevan & Dag Nabbit;Vultures
TY feat. Roots & Deboarah Jordan;Eyes Open
MGMT;James
Panda Bear;Flight
Palm;Pearly
Akwuar;Famille De Voyageurs
Mark Renner;Saints And Sages
Loma;Joy
Moaning;Artificial
Ought;Disaffectation
Franz Ferdinand;Feel The Love Go
