Interpret;Titel
Strict Face;Kiss Me Later
Palmistry;Sip (Mr. Mitch Remix)
Steve Spacek;Carnival Nights
Rhi;Night Driving (Ivy Lab Remix)
Tee Grizzley;Hooters
Deena Abdelwahed;05. Mai
Marlon Hoffstadt;She Is My Hero
Claptone feat. Clap Your Hands Say Yeah;Animal (Daniel Steinberg Remix)
The 1975;Tootimetootimetootime
Silk City feat. Dua Lipa;Electricity
Pip Blom;The Shed
Humans;Water Water
Akito;Oyasumi
Otik;Hunga
Hodge;Night Run
Blaukoma;Azure
Armless Kid;Internet Love (ZAV Mix)
Oneohtrix Point Never;Love In The Time Of Lexapro
Anderson .Paak feat. Pusha T;Brother´s Keeper
Jay Daniel;Shining
Khruangbin;Christmas Time Is Here
Orions Belte;New Years Eve #2
Jelanie Blackman;Go Low
Mr Eazi feat. 2Baba;Suffer Head
2Fox;Lonzania
Bato Bato;Son Castello
Davi;Without My Ways
Red Axes;Treacksheni
TSVI;Inner Worlds
Loom;Ultraviolet Love Scene
Jacco Gardner;Rain
Mr. Mitch;Creep (Take You Home)
My Brightest Diamond;Sway
Thomas Dybdahl;All These Things
Distance, Light & Sky;In Circles
Blackberries;Disturbia
