Interpret;Titel
Kode9/Burial – Luke Slater;I Can Complete You
Kode9/Burial – Virgin;B9
Amduscias;She-Witch
Dehousy;Break (Addison Groove Remix)
Kelela;Truth Or Dare (LSDXOXO Remix)
Monuman;If You Want
Daev Martian;Summer Nights
Cypress Hill;I Wanna Get High
Cypress Hill;Band Of Gypsies
Umse;Mücken Und Elefanten
Phenomenal Handclap Band;Phenomenal Handclap Band
Wargirl;Sass Girl
Problem Child;Hen Ogledd
Curses feat. Perel;Gold & Silber
Motorama;Second Part
Fuzzy Logik X Cooly G X Audio Halls Beat;Cooly G Fact Mix
Morgan Hislop feat. Naina;My Shadow Is Always With Me
Marie Davidson;Work It
Mr. Mitch;Closure
Sieren;Her Two Faces
Two Medicine;Gold
Cat Power feat. Lana Del Rey;Woman
Marissa Nadler;For My Crimes
Catching Flies feat. Jay Prince & Oscar Jerome;New Gods
Auntie Flo;Nobody Said It Would Be Easy
Tomat Petrella;Proxima Centauri B
MHD;Feeling
Bonez MC & RAF Camora;Prominent
Umse;Durch Die Wolkendecke
Lydmor;Trembling
Tali feat. DRS & Roygreene And Protone;Paper Wasp
Need For Mirrors;Tidal Wavey
Bungle;Cocooned VIP
Garage Class;I Got Standards (JD Twitch´s Say It Again Version)
Leon & Dennis Cruz;My Hood (Ewan Pearson Rmx)
The KVB;On My Skin
Vox Low;Now We´re Ready To Spend
Fews;Business
Peluche;To Be A Bird
